ItemCode,Item Description,Category
236,"Pac-Dent 3/4 Evacu-N-Irrigation Needle Tips 22 Ga, Black",Endodontic
237,"Pac-Dent 3/4 Evacu-N-Irrigation Needle Tips 25 Ga, Blue",Endodontic
238,"Pac-Dent Irrigation Needle Tips 23 Ga., notched, Blue",Endodontic
239,"Pacdent Irrigation Needle Tips 27 Ga., notched, Yellow",Endodontic
240,Pac-Dent Syringe 3 cc,Endodontic
241,Pac-Dent Syringe 6 cc,Endodontic
242,Pac-Dent Syringe 12 cc,Endodontic
243,"20 CC, 50/PK",Endodontic
244,Pac-Dent Endo Irrigation Combo Kit: 100 x 23 Ga. blue tips w/ 100 x 3 cc syringes,Endodontic
245,Pac-Dent Endo Irrigation Combo Kit: 100 x 27 Ga. yellow tips w/ 100 x 3 cc syringes,Endodontic
247,"Pac-Dent Endo Irrigation Combo Kit: 100 x 30 Ga., purple tips w/ 100 x 3 cc syringes",Endodontic
256,Pac-Dent Latch Type Prophy Cup Resin Stem With Torque Cup,Preventive
290,6 X SUCTION TIP SLEEVES,Evacuation
0291,"N'SURE DISP.PROPHY ANGLE, SOFT,500/PK",Preventive
0293,"PEARSON N'SURE DISP.PROPHY ANGLE, FIRM,500/PK",Preventive
411,Pac-Dent Disposable Impression Trays Upper large impression tray,Impression & Accs
412,Pac-Dent Disposable Impression Trays Lower large impression tray,Impression & Accs
413,Pac-Dent Disposable Impression Trays Upper medium impression tray,Impression & Accs
414,Pac-Dent Disposable Impression Trays Lower medium impression tray,Impression & Accs
415,Pac-Dent Disposable Impression Trays Upper small impression tray,Impression & Accs
416,Pac-Dent Disposable Impression Trays Lower small impression tray,Impression & Accs
417,Pac-Dent Disposable Impression Trays Upper Left/Lower Right quadrant impression tray,Impression & Accs
418,Pac-Dent Disposable Impression Trays Upper Right/Lower Left quadrant impression tray,Impression & Accs
419,Pac-Dent Disposable Impression Trays Upper Anterior impression tray,Impression & Accs
420,Pac-Dent Disposable Impression Trays Lower Anterior impression tray,Impression & Accs
421,iMesh Trays Intro Pack: assorted sizes,Impression & Accs
422,iMesh Trays Anterior,Impression & Accs
423,iMesh Trays Posterior,Impression & Accs
424,iMesh Trays Quadrant,Impression & Accs
425,iMesh Trays Posterior Sideless,Impression & Accs
426,iMesh Trays Posterior Wide Body,Impression & Accs
459,Pac-Dent 1 x Extra small mixing bowl,Impression & Accs
460,Pac-Dent 1 x Small mixing bowl,Impression & Accs
470,Pac-Dent 1 x Medium mixing bowl,Impression & Accs
480,Pac-Dent 1 x Large mixing bowl,Impression & Accs
502,Metrex/Kerr Dental Needle Tips 21 Ga,Endodontic
0502,"Metrex/Kerr Dental Needle Tips, 21 Ga",Endodontic
503,Metrex/Kerr Dental Needle Tips 23 Ga,Endodontic
0503,"Metrex/Kerr Dental Needle Tips, 23 Ga",Endodontic
504,Metrex/Kerr Dental Needle Tips 25 Ga,Endodontic
0504,"Metrex/Kerr Dental Needle Tips, 25 Ga",Endodontic
505,Metrex/Kerr Dental Needle Tips 30 Ga,Endodontic
0505,"Metrex/Kerr Dental Needle Tips, 30 Ga",Endodontic
802,Pac-Dent Endo Foam 1 x Finger-hold organizer w/50 disposable foams,Endodontic
803,Pac-Dent Endo Foam 50 x Gray color triangular foam refill,Endodontic
804,Pac-Dent Endo Foam 50 x Gray color rectangular foam refill,Endodontic
811,"Pac-Dent Endo Foam For round endo sponge (size: 2"" dia. x 3/8"" thick)""",Endodontic
812,"Pac-Dent Endo Foam For round endo sponge (size: 2 1/2"" dia. x 3/8"" thick)""",Endodontic
813,"Pac-Dent Endo Foam For square endo sponge (size: 2 1/8"" x 2 1/8"" x 1/4"")""",Endodontic
835.010,"DIAMOND BUR, 25/PK",Bur
901,Pac-Dent Disposable Micro Applicators Standard (2.0mm),Cosmetic&Restoration
902,Pac-Dent Disposable Micro Applicators Fine (1.5mm),Cosmetic&Restoration
903,Pac-Dent Disposable Micro Applicators Ultra fine (1.0mm),Cosmetic&Restoration
904,Pac-Dent Disposable Micro Applicators Tapered,Cosmetic&Restoration
906,Pac-Dent Mixing Well 4-wells,Cosmetic&Restoration
907,Pac-Dent Mixing Well 2-wells,Cosmetic&Restoration
969,Ultradent OpalCups Variety Pack  (10 Finishing 10 Bristle),Preventive
1007.1479,DIAGNODENT PEN BARRIER,Infection Control
1007.1480,DIAGNODENT PEN BARRIER,Infection Control
1110,"BUR BRUSH 4 3/4"" X 5/16"", 1 PER PACKAGE",Bur
1169,Pac-Dent Delivery Tips iFlo EZVisc brush tips,Cosmetic&Restoration
1174,Bright White HP 6% 6Ml Syringe,Whitening
1175,BRIGHT WHITE TIP FOR SYRINGE,Whitening
1357,Pac-Dent Delivery Tips iFlo MicroEZ micro brush needle,Cosmetic&Restoration
1457,Pac-Dent Delivery Tips iFlo Capillary endo tip,Cosmetic&Restoration
1557,Pac-Dent Delivery Tips iFlo Capillary pre-bent endo tip,Cosmetic&Restoration
1820,Metrex/Kerr Perfectpearl Disposable Prophy Angle Classic Soft Cup,Preventive
1821,Metrex/Kerr Perfectpearl Disposable Prophy Angle Midnight Standard Cup,Preventive
1822,Metrex/Kerr Perfectpearl Disposable Prophy Angle Midnight Blue/Pointed Brush,Preventive
1931,"FINE CROSSCUT BURS, FG1931, 5-PK",Bur
1956,"FINE CROSSCUT BURS, FG1956, 5-PK",Bur
1957,"FINE CROSSCUT BURS, FG1957, 5-PK",Bur
1958,"FINE CROSSCUT BURS, FG1958, 5-PK",Bur
1969,"FINE CROSSCUT BURS, FG1969, 5-PK",Bur
1970,"FINE CROSSCUT BURS, FG1970, 5-PK",Bur
2157,"CC STRAIGHT DOME, FG2157, 5-PK",Bur
2158,"CC STRAIGHT DOME, FG2158, 5-PK",Bur
2170,"CC TAPER DOME, FG2170, 5-PK",Bur
2171,"CC TAPER DOME, FG2171, 5-PK",Bur
03640,"C&B PROMPT 10:1, 50 ML (75GM), SHADE: A1 FOR PD-123",Cosmetic&Restoration
03650,"C&B PROMPT 10:1, 50 ML (75GM), SHADE: A2 FOR PD-124",Cosmetic&Restoration
03651,"C&B PROMPT 10:1, 50 ML (75 GM), SHADE: A3 FOR PD-125",Cosmetic&Restoration
5799,Ultradent OpalCups Finishing,Preventive
5800,Ultradent OpalCups Bristle,Preventive
8001,"OptiComp Universal Restorative Resin-Based Composites, LC 1 x Syringe, enamel refill, 4gm, A1",Cosmetic&Restoration
8002,"OptiComp Universal Restorative Resin-Based Composites, LC 1 x Syringe, enamel refill, 4gm, A2",Cosmetic&Restoration
8003,"OptiComp Universal Restorative Resin-Based Composites, LC 1 x Syringe, enamel refill, 4gm, A3",Cosmetic&Restoration
8004,"OptiComp Universal Restorative Resin-Based Composites, LC 1 x Syringe, enamel refill, 4gm, A3.5",Cosmetic&Restoration
8005,"OPTICOMP UNIVERSAL 1 X SYRINGE, ENAMEL REFILL, 4GM, A4",Cosmetic&Restoration
8006,"OptiComp Universal Restorative Resin-Based Composites, LC 1 x Syringe, enamel refill, 4gm, B1",Cosmetic&Restoration
8007,"OPTICOMP UNIVERSAL 1 X SYRINGE, ENAMEL REFILL, 4GM, B2",Cosmetic&Restoration
8009,"OptiComp Universal Restorative Resin-Based Composites, LC 1 x Syringe, enamel refill, 4gm, B3",Cosmetic&Restoration
8010,"OPTICOMP UNIVERSAL 1 X SYRINGE, ENAMEL REFILL, 4GM, B4",Cosmetic&Restoration
8011,"OPTICOMP UNIVERSAL 1 X SYRINGE, ENAMEL REFILL, 4GM, C1",Cosmetic&Restoration
8012,"OptiComp Universal Restorative Resin-Based Composites, LC 1 x Syringe, enamel refill, 4gm, C2",Cosmetic&Restoration
8013,"OPTICOMP UNIVERSAL 1 X SYRINGE, ENAMEL REFILL, 4GM, C3",Cosmetic&Restoration
8014,"OPTICOMP UNIVERSAL 1 X SYRINGE, ENAMEL REFILL, 4GM, C4",Cosmetic&Restoration
8015,"OptiComp Universal Restorative Resin-Based Composites, LC 1 x Syringe, enamel refill, 4gm, D2",Cosmetic&Restoration
8016,"OPTICOMP UNIVERSAL 1 X SYRINGE, ENAMEL REFILL, 4GM, D3",Cosmetic&Restoration
8017,"OPTICOMP UNIVERSAL 1 X SYRINGE, ENAMEL REFILL, 4GM, D4",Cosmetic&Restoration
8020,"OptiComp Universal Restorative Resin-Based Composites, LC 1 x Syringe, dentin refill, 4gm, A1",Cosmetic&Restoration
8021,"OptiComp Universal Restorative Resin-Based Composites, LC 1 x Syringe, dentin refill, 4gm, A2",Cosmetic&Restoration
8022,"OptiComp Universal Restorative Resin-Based Composites, LC 1 x Syringe, dentin refill, 4gm, A3",Cosmetic&Restoration
8101,Pac-Dent Composite OptiComp Unit Dose Enamel refill 20 x .2gm unit dose A1,Cosmetic&Restoration
8102,Pac-Dent Composite OptiComp Unit Dose Enamel refill 20 x .2gm unit dose A2,Cosmetic&Restoration
8103,Pac-Dent Composite OptiComp Unit Dose Enamel refill 20 x .2gm unit dose A3,Cosmetic&Restoration
8104,Pac-Dent Composite OptiComp Unit Dose Enamel refill 20 x .2gm unit dose A3.5,Cosmetic&Restoration
8105,"OPTICOMP UNIT DOSE ENAMEL REFILL, 20 X .2GM UNIT DOSE, A4",Cosmetic&Restoration
8106,Pac-Dent Composite OptiComp Unit Dose Enamel refill 20 x .2gm unit dose B1,Cosmetic&Restoration
8107,"OPTICOMP UNIT DOSE ENAMEL REFILL, 20 X .2GM UNIT DOSE, B2",Cosmetic&Restoration
8109,Pac-Dent Composite OptiComp Unit Dose Enamel refill 20 x .2gm unit dose B3,Cosmetic&Restoration
8110,"OPTICOMP UNIT DOSE ENAMEL REFILL, 20 X .2GM UNIT DOSE, B4",Cosmetic&Restoration
8111,"OPTICOMP UNIT DOSE ENAMEL REFILL, 20 X .2GM UNIT DOSE, C1",Cosmetic&Restoration
8112,Pac-Dent Composite OptiComp Unit Dose Enamel refill 20 x .2gm unit dose C2,Cosmetic&Restoration
8113,"OPTICOMP UNIT DOSE ENAMEL REFILL, 20 X .2GM UNIT DOSE, C3",Cosmetic&Restoration
8114,"OPTICOMP UNIT DOSE ENAMEL REFILL, 20 X .2GM UNIT DOSE, C4",Cosmetic&Restoration
8115,Pac-Dent Composite OptiComp Unit Dose Enamel refill 20 x .2gm unit dose D2,Cosmetic&Restoration
8116,"OPTICOMP UNIT DOSE ENAMEL REFILL, 20 X .2GM UNIT DOSE, D3",Cosmetic&Restoration
8117,"OPTICOMP UNIT DOSE ENAMEL REFILL, 20 X .2GM UNIT DOSE, D4",Cosmetic&Restoration
8120,Pac-Dent Composite OptiComp Unit Dose Dentin refill 20 x .2gm unit dose A1,Cosmetic&Restoration
8121,Pac-Dent Composite OptiComp Unit Dose Dentin refill 20 x .2gm unit dose A2,Cosmetic&Restoration
8122,Pac-Dent Composite OptiComp Unit Dose Dentin refill 20 x .2gm unit dose A3,Cosmetic&Restoration
8200,"NANOHYBRID FLOWABLE COMPOSITE INTRO KIT SRINGES, 4-PK , 4 X 1GM SYRINGES WITH 20 TIPS, CONTAINS 1 EA",Cosmetic&Restoration
8201,Pac-Dent OptiFlow II Flowable Composite 4-Pk  4 x 1.5gm syringes with 20 Flo-Tips A1,Cosmetic&Restoration
8202,Pac-Dent OptiFlow II Flowable Composite 4-Pk  4 x 1.5gm syringes with 20 Flo-Tips A2,Cosmetic&Restoration
8203,Pac-Dent OptiFlow II Flowable Composite 4-Pk  4 x 1.5gm syringes with 20 Flo-Tips A3,Cosmetic&Restoration
8204,Pac-Dent OptiFlow II Flowable Composite 4-Pk  4 x 1.5gm syringes with 20 Flo-Tips A3.5,Cosmetic&Restoration
8205,"OPTIFLOW II 4-PK , 4 X 1.5GM SYRINGES WITH 20 FLO-TIPS, A4",Cosmetic&Restoration
8206,Pac-Dent OptiFlow II Flowable Composite 4-Pk  4 x 1.5gm syringes with 20 Flo-Tips B1,Cosmetic&Restoration
8207,"OPTIFLOW II 4-PK , 4 X 1.5GM SYRINGES WITH 20 FLO-TIPS, B2",Cosmetic&Restoration
8209,Pac-Dent OptiFlow II Flowable Composite 4-Pk  4 x 1.5gm syringes with 20 Flo-Tips B3,Cosmetic&Restoration
8210,"OPTIFLOW II 4-PK , 4 X 1.5GM SYRINGES WITH 20 FLO-TIPS, B4",Cosmetic&Restoration
8211,"OPTIFLOW II  4-PK , 4 X 1.5GM SYRINGES WITH 20 FLO-TIPS, C1",Cosmetic&Restoration
8212,Pac-Dent OptiFlow II Flowable Composite 4-Pk  4 x 1.5gm syringes with 20 Flo-Tips C2,Cosmetic&Restoration
8213,"OPTIFLOW II  4-PK , 4 X 1.5GM SYRINGES WITH 20 FLO-TIPS, C3",Cosmetic&Restoration
8214,"OPTIFLOW II  4-PK , 4 X 1.5GM SYRINGES WITH 20 FLO-TIPS, C4",Cosmetic&Restoration
8215,Pac-Dent OptiFlow II Flowable Composite 4-Pk  4 x 1.5gm syringes with 20 Flo-Tips D2,Cosmetic&Restoration
8216,"OPTIFLOW II  4-PK , 4 X 1.5GM SYRINGES WITH 20 FLO-TIPS, D3",Cosmetic&Restoration
8217,"OPTIFLOW II  4-PK , 4 X 1.5GM SYRINGES WITH 20 FLO-TIPS, D4",Cosmetic&Restoration
8218,"NANOHYBRID FLOWABLE COMPOSITE REFILL UNIVERSAL OPAQUE 2-PK , 2 X 2GM SYRINGES WITH 20 TIPS, UO",Cosmetic&Restoration
8220,Pac-Dent OptiFlow II Flowable Composite High viscosity 4-pk 4 x 1.5gm syringes with 20 Flo-Tips A1,Cosmetic&Restoration
8221,Pac-Dent OptiFlow II Flowable Composite High viscosity 4-pk 4 x 1.5gm syringes with 20 Flo-Tips A2,Cosmetic&Restoration
8222,Pac-Dent OptiFlow II Flowable Composite High viscosity 4-pk 4 x 1.5gm syringes with 20 Flo-Tips A3,Cosmetic&Restoration
8301,"NANOHYBRID FLOWABLE COMPOSITE REFILL 2-PK , 2 X 2GM SYRINGES WITH 20GA PRE-BENT NEEDLE TIPS, A1",Cosmetic&Restoration
8302,"NANOHYBRID FLOWABLE COMPOSITE REFILL 2-PK , 2 X 2GM SYRINGES WITH 20GA PRE-BENT NEEDLE TIPS, A2",Cosmetic&Restoration
8303,"NANOHYBRID FLOWABLE COMPOSITE REFILL 2-PK , 2 X 2GM SYRINGES WITH 20GA PRE-BENT NEEDLE TIPS, A3",Cosmetic&Restoration
8304,"NANOHYBRID FLOWABLE COMPOSITE REFILL 2-PK , 2 X 2GM SYRINGES WITH 20GA PRE-BENT NEEDLE TIPS, A3.5",Cosmetic&Restoration
8306,"NANOHYBRID FLOWABLE COMPOSITE REFILL 2-PK , 2 X 2GM SYRINGES WITH 20GA PRE-BENT NEEDLE TIPS, B1",Cosmetic&Restoration
8355,ULTRAPRO TX SKINI  CONTRA DISPOSABLE PROPHY ANGLE FIRM 500 PACK,Preventive
8357,ULTRAPRO TX  SWEEP DISPOSABLE PROPHY ANGLES SOFT 144 PACK,Preventive
8358,ULTRAPRO TX  SWEEP DISPOSABLE PROPHY ANGLES FIRM 144 PACK,Preventive
8359,ULTRAPRO TX  SWEEP DISPOSABLE PROPHY ANGLES SOFT 500 PACK,Preventive
8360,Ultrapro TX  Sweep Disposable Prophy Angles Firm,Preventive
8400,"OPTIFLOW II, FLOWABLE COMPOSITES, 4 X 2GM SYRINGES WITH 12 TIPS, 1 EACH OF A1, A2, B1, C2",Impression & Accs
8401,"OPTIFLOW II, FLOWABLE COMPOSITES, 4 X 2GM SYRINGES WITH 12 TIPS, A1",Impression & Accs
8402,"OPTIFLOW II, FLOWABLE COMPOSITES, 4 X 2GM SYRINGES WITH 12 TIPS, A2",Impression & Accs
8403,"OPTIFLOW II, FLOWABLE COMPOSITES, 4 X 2GM SYRINGES WITH 12 TIPS, A3",Impression & Accs
8404,"OPTIFLOW II, FLOWABLE COMPOSITES, 4 X 2GM SYRINGES WITH 12 TIPS, A3.5",Impression & Accs
8406,"OPTIFLOW II, FLOWABLE COMPOSITES, 4 X 2GM SYRINGES WITH 12 TIPS, B1",Impression & Accs
8412,"OPTIFLOW II, FLOWABLE COMPOSITES, 4 X 2GM SYRINGES WITH 12 TIPS, C2",Impression & Accs
10057,"Medicom DentiCare Swivel DPA, Soft Cup, 100/box",Infection Control
10058,"Medicom DentiCare Swivel DPA, Firm Cup, 100/box",Infection Control
10059,"Medicom DentiCare Swivel DPA, Tapered Brush, 100/box",Infection Control
Oct-32,Metrex/Kerr Petite Pearl Disposable Prophy Angle Firm Cup,Preventive
12180,GINGIPaste Unit Dose Intro Pack,Gingi-Pak
12181,"GINGIPaste Unit Dose Pack, 24 x 0.25 gm unit doses",Gingi-Pak
12182,"GINGIPASTE SYRINGE PACK, 7 X 0.85G SYRINGES AND 15 DISPENSING TIPS)",Gingi-Pak
12183,"GINGIPASTE UNIT DOSE DISPENSING GUN, 1/PK",Gingi-Pak
12184,"GINGIPASTE SYRINGE DISPENSING TIP, 50/PK",Components
Oct-33,Metrex/Kerr Petite Pearl Sample Pack 2 Soft & 2 Firm Cups,Preventive
23101,Pac-Dent ProPaste One Disposable Prophy Ring and AntiSplatr Paste Combo Assorted Coarse,Preventive
23102,Pac-Dent ProPaste One Disposable Prophy Ring and AntiSplatr Paste Combo Assorted Medium,Preventive
23103,Pac-Dent ProPaste One Disposable Prophy Ring and AntiSplatr Paste Combo Mint Coarse,Preventive
23104,Pac-Dent ProPaste One Disposable Prophy Ring and AntiSplatr Paste Combo Mint Medium,Preventive
23105,Pac-Dent ProPaste One Disposable Prophy Ring and AntiSplatr Paste Combo Bubblegum Fine,Preventive
23860,"Rodin Denture Base 2.0, Original Pink,  1kg/Bottle",3D Resin
23861,"Rodin Denture Base 2.0, Meharry, 1kg/Bottle",3D Resin
23862,"Rodin Denture Base 2.0, Light Pink, 1kg/Bottle",3D Resin
23864,"Rodin Denture Base 2.0, Classic Pink, 1kg/Bottle",3D Resin
23865,"Rodin Splint 2.0, Rigid, 1kg/Bottle",3D Resin
23866,"Rodin FlexiSplint, 1kg/Bottle",3D Resin
23867,"Rodin Surgical Guide 2.0, 1kg/Bottle",3D Resin
23869,Rodin Sculpture 2.0 Shade 0M3 1.2kg/bottle,3D Resin
23870,Rodin Sculpture 2.0 Shade 0M1 1.2kg/bottle,3D Resin
23871,Rodin Sculpture 2.0 Shade B1 1.2kg/bottle,3D Resin
23872,Rodin Sculpture 2.0 Shade B2 1.2kg/bottle,3D Resin
23873,Rodin Sculpture 2.0 Shade B3 1.2kg/bottle,3D Resin
23874,Rodin Sculpture 2.0 Shade B4 1.2kg/bottle,3D Resin
23875,Rodin Sculpture 2.0 Shade A1 1.2kg/bottle,3D Resin
23876,Rodin Sculpture 2.0 Shade A2 1.2kg/bottle,3D Resin
23877,Rodin Sculpture 2.0 Shade A3 1.2kg/bottle,3D Resin
23878,Rodin Sculpture 2.0 Shade A3.5 1.2kg/bottle,3D Resin
23879,Rodin Sculpture 2.0 Shade A4 1.2kg/bottle,3D Resin
23880,Rodin Sculpture 2.0 Shade C1 1.2kg/bottle,3D Resin
23881,Rodin Sculpture 2.0 Shade C2 1.2kg/bottle,3D Resin
23882,Rodin Sculpture 2.0 Shade C3 1.2kg/bottle,3D Resin
23883,Rodin Sculpture 2.0 Shade C4 1.2kg/bottle,3D Resin
23884,Rodin Sculpture 2.0 Shade D2 1.2kg/bottle,3D Resin
23885,Rodin Sculpture 2.0 Shade D3 1.2kg/bottle,3D Resin
23886,Rodin Sculpture 2.0 Shade D4 1.2kg/bottle,3D Resin
23887,Rodin Sculpture 2.0 Shade 0M3 600g/Bottle,3D Resin
23888,Rodin Sculpture 2.0 Shade 0M1 600g/Bottle,3D Resin
23889,Rodin Sculpture 2.0 Shade B1 600g/Bottle,3D Resin
23890,Rodin Sculpture 2.0 Shade B2 600g/Bottle,3D Resin
23891,Rodin Sculpture 2.0 Shade B3 600g/Bottle,3D Resin
23892,Rodin Sculpture 2.0 Shade B4 600g/Bottle,3D Resin
23893,Rodin Sculpture 2.0 Shade A1 600g/Bottle,3D Resin
23894,Rodin Sculpture 2.0 Shade A2 600g/Bottle,3D Resin
23895,Rodin Sculpture 2.0 Shade A3 600g/Bottle,3D Resin
23896,Rodin Sculpture 2.0 Shade A3.5 600g/Bottle,3D Resin
23897,Rodin Sculpture 2.0 Shade A4 600g/Bottle,3D Resin
23898,Rodin Sculpture 2.0 Shade C1 600g/Bottle,3D Resin
23899,Rodin Sculpture 2.0 Shade C2 600g/Bottle,3D Resin
23900,Rodin Sculpture 2.0 Shade C3 600g/Bottle,3D Resin
23901,Rodin Sculpture 2.0 Shade C4 600g/Bottle,3D Resin
23902,Rodin Sculpture 2.0 Shade D2 600g/Bottle,3D Resin
23903,Rodin Sculpture 2.0 Shade D3 600g/Bottle,3D Resin
23904,Rodin Sculpture 2.0 Shade D4 600g/Bottle,3D Resin
23905,Rodin Sculpture 2.0 Shade 0M3 300g/Bottle,3D Resin
23906,Rodin Sculpture 2.0 Shade 0M1 300g/Bottle,3D Resin
23907,Rodin Sculpture 2.0 Shade B1 300g/Bottle,3D Resin
23908,Rodin Sculpture 2.0 Shade B2 300g/Bottle,3D Resin
23909,Rodin Sculpture 2.0 Shade B3 300g/Bottle,3D Resin
23910,Rodin Sculpture 2.0 Shade B4 300g/Bottle,3D Resin
23911,Rodin Sculpture 2.0 Shade A1 300g/Bottle,3D Resin
23912,Rodin Sculpture 2.0 Shade A2 300g/Bottle,3D Resin
23913,Rodin Sculpture 2.0 Shade A3 300g/Bottle,3D Resin
23914,Rodin Sculpture 2.0 Shade A3.5 300g/Bottle,3D Resin
23915,Rodin Sculpture 2.0 Shade A4 300g/Bottle,3D Resin
23916,Rodin Sculpture 2.0 Shade C1 300g/Bottle,3D Resin
23917,Rodin Sculpture 2.0 Shade C2 300g/Bottle,3D Resin
23918,Rodin Sculpture 2.0 Shade C3 300g/Bottle,3D Resin
23919,Rodin Sculpture 2.0 Shade C4 300g/Bottle,3D Resin
23920,Rodin Sculpture 2.0 Shade D2 300g/Bottle,3D Resin
23921,Rodin Sculpture 2.0 Shade D3 300g/Bottle,3D Resin
23922,Rodin Sculpture 2.0 Shade D4 300g/Bottle,3D Resin
23985,Rodin Titan Shade 0M3 1.2kg/Bottle,3D Resin
23986,Rodin Titan Shade B1 1.2kg/Bottle,3D Resin
23987,Rodin Titan Shade A1 1.2kg/Bottle,3D Resin
23988,Rodin Titan Shade A2 1.2kg/Bottle,3D Resin
23989,Rodin Titan Shade A3 1.2kg/Bottle,3D Resin
23990,Rodin Titan Shade C2 1.2kg/Bottle,3D Resin
23991,Rodin Titan Shade 0M3 600g/Bottle,3D Resin
23992,Rodin Titan Shade B1 600g/Bottle,3D Resin
23993,Rodin Titan Shade A1 600g/Bottle,3D Resin
23994,Rodin Titan Shade A2 600g/Bottle,3D Resin
23995,Rodin Titan Shade A3 600g/Bottle,3D Resin
23996,Rodin Titan Shade C2 600g/Bottle,3D Resin
23997,Rodin Titan Shade 0M3 300g/Bottle,3D Resin
23998,Rodin Titan Shade B1 300g/Bottle,3D Resin
23999,Rodin Titan Shade A1 300g/Bottle,3D Resin
24000,Rodin Titan Shade A2 300g/Bottle,3D Resin
24001,Rodin Titan Shade A3 300g/Bottle,3D Resin
24002,Rodin Titan Shade C2 300g/Bottle,3D Resin
24003,Rodin Titan Shade 0M1 1.2kg/Bottle,3D Resin
24004,Rodin Titan Shade 0M1 600g/Bottle,3D Resin
24005,Rodin Titan Shade 0M1 300g/Bottle,3D Resin
24006,Rodin Soft Reline Kit,3D Resin
24007,Rodin VPS Reline Cartridge Refill,3D Resin
24008,Rodin VPS Adhesive Primer -10 mL Bottle,3D Resin
24009,Rodin VPS Release - 10 mL Bottle,3D Resin
24015,"Rodin Glaze N2-Free, 1 x 15 mL Bottle",3D Resin
24016,Rodin Palette  N2-Free Naturalization Kit,3D Resin
24017,Rodin EnVision Intro Kit- Shade 0M1,3D Resin
24018,Rodin EnVision Intro Kit- Shade 0M3,3D Resin
24019,Rodin EnVision Intro Kit- Shade A1,3D Resin
24020,Rodin EnVision Intro Kit- Shade B1,3D Resin
24021,Rodin EnVision Veneer Cement Kit,3D Resin
24022,Rodin EnVision Syringe Kit,3D Resin
24023,Rodin EnVision Veneer Resin  Shade 0M1  600g bottle,3D Resin
24024,Rodin EnVision Veneer Resin  Shade 0M3  600g bottle,3D Resin
